b	e	s	h	f	M	F	P	W	R	nt	total
0	20	20	5	6	2	10	10	5	6	5	89
0	11	16	11	16	9	3	9	10	2	3	90
4	13	10	14	12	12	4	4	9	4	4	90
0	22	12	11	12	3	4	13	5	9	3	94
0	11	12	11	21	5	1	11	6	3	4	85
0	9	9	22	19	10	3	3	14	4	6	99
4	8	7	11	20	9	4	10	10	4	3	90
0	11	18	11	15	6	4	11	2	9	6	93
0	15	15	8	18	4	5	6	10	9	2	92
0	11	13	11	14	13	11	2	2	3	3	83
4	14	14	11	7	4	9	9	2	11	5	90
4	13	2	18	20	3	5	9	9	3	4	90
4	16	7	11	17	5	4	9	4	13	4	94
11	13	12	11	12	4	9	3	4	12	5	96
4	24	10	5	9	5	4	4	3	12	5	85
0	14	20	14	0	5	3	4	9	12	1	82
0	18	13	14	14	2	9	9	9	4	3	95
4	15	9	14	14	6	2	5	4	11	5	89
4	4	15	14	13	4	11	4	10	2	5	86
0	11	18	14	9	3	4	9	13	3	3	87
4	11	25	5	13	10	2	10	6	9	4	99
4	13	13	5	20	3	9	4	11	4	5	91
0	26	12	18	6	2	3	10	5	12	3	97
4	13	10	14	11	5	10	9	10	4	4	94
4	15	6	8	14	5	5	10	3	6	7	83
0	18	10	11	15	9	5	9	3	3	5	88
4	12	14	8	10	5	5	3	9	11	4	85
4	16	4	11	20	5	9	10	4	4	3	90
0	23	7	18	3	10	5	5	2	9	3	85
0	9	7	18	18	5	2	9	5	9	5	87
4	17	14	11	10	4	4	5	9	9	6	93
4	11	17	18	6	9	10	2	10	3	4	94
4	16	9	8	18	3	9	4	6	9	4	90
4	11	12	22	7	9	5	4	5	6	5	90
0	14	15	11	16	3	3	4	13	10	4	93
4	11	14	18	10	5	4	4	10	4	6	90
0	13	18	5	14	3	9	3	9	9	4	87
4	13	9	18	12	5	9	5	3	10	3	91
0	13	27	8	5	5	2	6	5	9	7	87
4	2	30	14	8	3	3	9	9	9	6	97
11	18	14	8	7	3	6	11	3	10	7	98
0	14	12	22	11	9	3	9	5	13	4	102
4	13	10	18	9	11	4	3	5	6	6	89
4	16	14	5	12	14	3	4	4	10	3	89
0	7	22	18	7	3	5	12	10	4	5	93
0	11	24	14	9	4	2	5	11	9	5	94
4	9	20	11	8	9	6	5	3	9	6	90
0	11	12	11	17	2	3	12	5	5	5	83
0	17	7	11	19	9	5	3	10	9	6	96
4	7	4	14	17	4	9	6	11	4	6	86
4	15	10	11	15	11	4	3	9	3	8	93
0	18	16	11	12	3	4	9	12	3	5	93
4	24	4	8	19	9	4	3	10	5	4	94
4	7	14	22	8	5	4	5	10	4	5	88
0	15	14	18	8	5	5	6	9	3	6	89
4	20	12	11	13	5	6	9	5	4	3	92
4	10	16	8	13	9	3	4	6	9	5	87
11	7	12	11	14	4	4	9	4	6	6	88
0	11	15	14	11	9	2	3	11	12	5	93
4	9	13	18	3	11	3	3	4	11	7	86
0	16	9	11	18	6	9	6	2	10	5	92
0	16	14	8	16	5	9	4	5	9	5	91
4	5	18	8	25	3	5	9	9	5	4	95
0	13	15	8	18	4	3	9	11	9	4	94
0	17	16	11	7	4	4	5	12	3	3	82
4	13	18	11	11	3	5	9	6	6	4	90
0	20	8	8	16	10	5	11	4	4	2	88
4	14	10	8	12	11	6	3	4	5	6	83
11	13	12	5	17	10	10	2	5	9	4	98
0	14	7	11	17	13	12	5	3	3	3	88
4	6	22	11	15	5	6	4	4	11	4	92
4	12	12	8	13	9	5	9	6	3	4	85
0	20	18	11	9	9	4	5	5	5	4	90
4	14	9	5	20	9	2	9	3	10	3	88
4	7	10	18	17	10	2	11	3	4	8	94
4	15	10	11	11	10	5	3	9	6	3	87
4	16	10	11	10	5	11	9	2	4	3	85
0	13	7	11	21	4	10	9	4	3	5	87
0	16	25	8	8	5	3	10	5	10	5	95
0	5	22	8	22	9	2	5	10	5	7	95
0	19	12	8	17	9	5	4	4	2	5	85
4	11	14	14	13	9	3	10	5	3	7	93
0	13	16	14	18	4	6	4	5	10	5	95
11	15	4	8	18	4	4	4	3	13	5	89
0	9	12	11	23	3	5	9	10	4	7	93
4	17	22	2	8	3	5	11	5	5	7	89
4	7	12	14	10	9	2	9	3	12	3	85
4	4	18	14	15	3	5	11	3	10	5	92
0	15	14	14	7	5	12	5	4	4	2	82
4	15	10	11	19	5	4	5	4	5	5	87
0	18	9	22	6	4	9	2	2	13	2	87
4	9	15	14	9	11	4	6	9	5	4	90
4	18	12	11	13	9	5	3	4	4	3	86
4	11	6	11	19	11	10	4	5	4	5	90
4	4	16	14	13	4	3	12	5	9	4	88
4	5	25	18	7	5	9	5	3	3	3	87
0	6	7	22	15	2	3	9	10	9	4	87
4	15	16	11	10	9	2	9	6	5	4	91
4	20	6	8	17	9	5	5	5	3	5	87
0	13	16	14	12	9	4	3	9	4	2	86
